Title;Runner;ID or ROM filename
Batman: Arkham Knight;Lutris;0
Batman: Arkham Origins;Steam;209000
Bayonetta;Steam;460790
Black Mesa;Steam;362890
Christmas Massacre;Steam;1840490
Cyberpunk 2077;Steam;1091500
DOOM;None;gzdoom -file BRUTAL.pk3
DOOM Eternal;Steam;782330
FAITH: The Unholy Trinity;Steam;1179080
God Of War: Ragnarok;Steam;2322010
Grand Theft Auto IV;Steam;12210
Grand Theft Auto V;Steam;3240220
Grand Theft Auto: San Andreas;Lutris;0
Hitman;Steam;863550
LA Noire;Steam;110800
Lies Of P;Steam;1627720
Max Payne;Steam;12140
Max Payne 2;Steam;12150
Max Payne 3;Steam;204100
Metal Gear Rising: Revengeance;Steam;235460
Metal Gear Solid V: Ground Zeroes;Steam;311340
Metal Gear Solid V: The Phantom Pain;Steam;287700
Minecraft;Lutris;0
Nier: Automata;Steam;524220
Nun Massacre;Lutris;0
Persona 5 Royal;Steam;1687950
Red Dead Redemption 2;Steam;1174180
Resident Evil 2;Steam;883710
Resident Evil Village;Steam;1196590
RoboCop: Rogue City;Steam;1681430
Saints Row 2;Steam;9480
Stay Out Of The House;Steam;896590
Watch_Dogs 2;Steam;447040
